[2026-03-25 13:32:43] 启动服务: F:\programs\python\play\tts\tts_eris\.venv\Scripts\python.exe -u F:\programs\python\play\tts\tts_eris\run_with_class.py
[2026-03-25 13:39:17] 启动服务: F:\programs\python\play\tts\tts_eris\.venv\Scripts\python.exe -u F:\programs\python\play\tts\tts_eris\run_with_class.py
[2026-03-25 13:39:17] stdout/stderr → F:\programs\python\play\tts\tts_eris\tts_stdout.log
[2026-03-25 13:39:17] GPU: 4958, 16303 MB
[2026-03-25 13:39:17] 子进程 PID=26020
[2026-03-25 13:39:17] [alive] PID=26020 GPU: 4958, 16303 MB
[2026-03-25 13:39:47] [alive] PID=26020 GPU: 5694, 16303 MB
[2026-03-25 13:40:17] [alive] PID=26020 GPU: 5696, 16303 MB
[2026-03-25 13:40:47] [alive] PID=26020 GPU: 5682, 16303 MB
[2026-03-25 13:41:17] [alive] PID=26020 GPU: 5676, 16303 MB
[2026-03-25 13:41:47] [alive] PID=26020 GPU: 7062, 16303 MB
[2026-03-25 13:42:18] [alive] PID=26020 GPU: 7117, 16303 MB
[2026-03-25 13:42:48] [alive] PID=26020 GPU: 7084, 16303 MB
[2026-03-25 13:43:18] [alive] PID=26020 GPU: 7095, 16303 MB
[2026-03-25 13:43:48] [alive] PID=26020 GPU: 7109, 16303 MB
[2026-03-25 13:44:18] [alive] PID=26020 GPU: 7113, 16303 MB
[2026-03-25 13:44:48] [alive] PID=26020 GPU: 7122, 16303 MB
[2026-03-25 13:45:19] [alive] PID=26020 GPU: 7110, 16303 MB
[2026-03-25 13:45:49] [alive] PID=26020 GPU: 7097, 16303 MB
[2026-03-25 13:46:19] [alive] PID=26020 GPU: 7109, 16303 MB
[2026-03-25 13:46:49] [alive] PID=26020 GPU: 7112, 16303 MB
[2026-03-25 13:47:19] [alive] PID=26020 GPU: 7099, 16303 MB
[2026-03-25 13:47:49] [alive] PID=26020 GPU: 7093, 16303 MB
[2026-03-25 13:48:19] [alive] PID=26020 GPU: 7100, 16303 MB
[2026-03-25 13:48:49] [alive] PID=26020 GPU: 7100, 16303 MB
[2026-03-25 13:49:20] [alive] PID=26020 GPU: 7101, 16303 MB
[2026-03-25 13:49:50] [alive] PID=26020 GPU: 7111, 16303 MB
[2026-03-25 13:50:20] [alive] PID=26020 GPU: 7113, 16303 MB
[2026-03-25 13:50:50] [alive] PID=26020 GPU: 7100, 16303 MB
